No,Word,Parts of Speech,IPA,Vietnamese,Example
34,bank,n,/bæŋk/,Ngân hàng,"My mom goes to the bank to save some money every month. 
(Mẹ tớ đến ngân hàng để tiết kiệm tiền mỗi tháng.)"
35,beetle,n,/ˈbiːtl/,Con bọ cánh cứng,"Look! There is a small green beetle on that leaf. 
(Nhìn kìa! Có một con bọ cánh cứng màu xanh nhỏ xíu trên chiếc lá đó.)"
36,before ,prep/conj,/bɪˈfɔːr/,Trước khi,"Always wash your hands before you eat your dinner. 
(Luôn luôn rửa tay sạch sẽ trước khi con ăn tối nhé.)"
37,begin,v,/bɪˈɡɪn/,Bắt đầu,"The movie will begin in five minutes, so let's sit down. 
(Bộ phim sẽ bắt đầu trong 5 phút nữa, nên chúng mình hãy ngồi xuống nào.)"
38,believe,v,/bɪˈliːv/,Tin tưởng,"I believe that you can win the English competition! 
(Tớ tin rằng cậu có thể chiến thắng cuộc thi tiếng Anh này!)"
39,belt,n,/belt/,"Thắt lưng, dây an toàn","Don't forget to wear your seat belt in the car. 
(Đừng quên thắt dây an toàn khi ở trong xe ô tô nhé.)"
40,Betty,n,/ˈbeti/,Bét-ti,"Betty is my best friend at school. 
(Bét-ti là người bạn thân nhất của tôi ở trường.)"
41,bicycle,n,/ˈbaɪsɪkl/,Xe đạp,"I ride my bicycle to school with my friends every day. 
(Tớ đạp xe đạp đến trường cùng các bạn mỗi ngày.)"
42,bin,n,/bɪn/,Thùng rác,"Please throw your rubbish into the bin to keep the park clean. 
(Vui lòng vứt rác vào thùng để giữ cho công viên sạch đẹp.)"
43,biscuit (US cookie),n,/ˈbɪskɪt/,Bánh quy,"I love eating chocolate biscuits with a glass of milk. 
(Tớ thích ăn bánh quy sô-cô-la cùng với một ly sữa.)"
44,bit,n,/bɪt/,"Một ít, một mảnh","Wait a bit! I need to tie my shoelaces. 
(Đợi một chút! Tớ cần phải buộc lại dây giày.)"
45,bored,adj,/bɔːrd/,Chán nản,"The boy felt bored because he had no toys to play with. 
(Cậu bé cảm thấy chán vì cậu không có đồ chơi để chơi cùng.)"
46,borrow,v,/ˈbɔːroʊ/,Mượn,"Can I borrow your eraser for a second, please? 
(Tớ có thể mượn cục tẩy của cậu một lát được không?)"
47,bracelet,n,/ˈbreɪslət/,Vòng tay,"My sister made a beautiful bracelet from colorful beads. 
(Chị gái tớ đã làm một chiếc vòng tay xinh xắn từ những hạt cườm màu sắc.)"
48,break,v,/breɪk/,"Làm vỡ, làm gãy","Be careful! Don't break the glass vase on the table. 
(Cẩn thận nhé! Đừng làm vỡ cái bình hoa thủy tinh trên bàn.)"
49,bridge,n,/brɪdʒ/,Cây cầu,"The golden bridge goes across the wide river. 
(Cây cầu vàng bắc ngang qua con sông rộng lớn.)"
50,broken,adj,/ˈbroʊkən/,"Bị hỏng, bị vỡ","My toy car is broken, so my dad is helping me fix it. 
(Chiếc xe đồ chơi của tớ bị hỏng rồi, nên bố đang giúp tớ sửa nó.)"
51,brush,v/n,/brʌʃ/,"Chải, bàn chải","You should brush your teeth twice a day. 
(Con nên chải răng hai lần một ngày.)"
52,burn,v,/bɜːrn/,"Đốt, làm bỏng","Be careful with the hot soup, or you will burn your tongue! 
(Cẩn thận với món canh nóng, nếu không con sẽ bị bỏng lưỡi đấy!)"
53,business,n,/ˈbɪznəs/,Việc kinh doanh,"My uncle started a small business selling toys. 
(Chú tớ đã bắt đầu một công việc kinh doanh nhỏ là bán đồ chơi.)"
54,businessman/woman,n,/ˈbɪznəsmæn/,Nam/Nữ doanh nhân,"The businesswoman is flying to London for a meeting. 
(Nữ doanh nhân đang bay đến Luân Đôn để họp.)"
55,butter,n,/ˈbʌtər/,Bơ,"I like to put some butter on my warm toast. 
(Tớ thích phết một ít bơ lên lát bánh mì nướng nóng hổi.)"
56,butterfly,n,/ˈbʌtərflaɪ/,Con bướm,"A colorful butterfly is sitting on the flower. 
(Một con bướm đầy màu sắc đang đậu trên bông hoa.)"
57,by myself,idiom,/baɪ maɪˈself/,"Tự mình, một mình","I can tie my shoelaces all by myself now. 
(Bây giờ tớ đã có thể tự mình buộc dây giày rồi.)"
58,by yourself,idiom,/baɪ jɔːrˈself/,"Tự bạn, một mình bạn","Did you draw this beautiful picture by yourself? 
(Bạn đã tự mình vẽ bức tranh đẹp này đúng không?)"
59,calendar,n,/ˈkælɪndər/,Lịch,"Let’s look at the calendar to see when your birthday is. 
(Hãy nhìn vào tờ lịch để xem khi nào là sinh nhật của con nhé.)"
60,camel,n,/ˈkæml/,Con lạc đà,"Camels can walk for a long time in the hot desert. 
(Lạc đà có thể đi bộ trong một thời gian dài ở sa mạc nóng bỏng.)"
61,camp,v/n,/kæmp/,Cắm trại,"We are going to camp near the lake this weekend. 
(Chúng tớ sẽ đi cắm trại gần hồ vào cuối tuần này.)"
62,card,n,/kɑːrd/,"Thẻ, thiệp","I wrote a lovely card to my grandma for her birthday. 
(Tớ đã viết một tấm thiệp dễ thương tặng bà nhân dịp sinh nhật.)"
63,cartoon,n,/kɑːrˈtuːn/,Phim hoạt hình,"My little brother loves watching cartoons on Sunday. 
(Em trai tớ rất thích xem phim hoạt hình vào ngày Chủ nhật.)"
64,castle,n,/ˈkæsl/,Lâu đài,"The king and queen lived in a huge stone castle. 
(Đức vua và hoàng hậu đã sống trong một tòa lâu đài bằng đá khổng lồ.)"
65,cave,n,/keɪv/,Hang động,"The bats live inside a dark cave in the mountains. 
(Những con dơi sống bên trong một hang động tối tăm trên núi.)"
66,century,n,/ˈsentʃəri/,Thế kỷ (100 năm),"The museum has many old things from the last century. 
(Bảo tàng có rất nhiều đồ vật cũ từ thế kỷ trước.)"
67,cereal,n,/ˈsɪriəl/,Ngũ cốc,"I often have a bowl of cereal with milk for breakfast. 
(Tớ thường ăn một bát ngũ cốc với sữa cho bữa sáng.)"
68,channel,n,/ˈtʃænl/,Kênh (truyền hình),"Turn to channel 5 to watch the football match. 
(Hãy chuyển sang kênh 5 để xem trận đấu bóng đá.)"
69,chat,v/n,/tʃæt/,"Tán gẫu, trò chuyện","I often chat with my friends during the break time. 
(Tớ thường tán gẫu với bạn bè trong giờ ra chơi.)"
70,cheap,adj,/tʃiːp/,Rẻ,"This notebook is very cheap; it only costs one dollar. 
(Cuốn sổ này rất rẻ; nó chỉ có giá một đô la thôi.)"
71,chemist's,n,/ˈkemɪst/,Nhà thuốc / Dược sĩ,"Mom went to the chemist’s to buy some medicine for me. 
(Mẹ đã đến nhà thuốc để mua một ít thuốc cho tớ.)"
72,chess,n,/tʃes/,Cờ vua,"My grandpa taught me how to play chess last summer. 
(Ông nội đã dạy tớ cách chơi cờ vua vào mùa hè năm ngoái.)"
73,chopsticks,n,/ˈtʃɑːpstɪks/,Đũa,"Can you use chopsticks to eat your noodles? 
(Bạn có biết dùng đũa để ăn mì không?)"
74,club,n,/klʌb/,Câu lạc bộ,"I joined the English club to practice speaking more. 
(Tớ đã tham gia câu lạc bộ tiếng Anh để luyện nói nhiều hơn.)"
75,collect,v,/kəˈlekt/,"Sưu tầm, thu gom","My hobby is to collect colorful stamps from many countries. 
(Sở thích của tớ là sưu tầm những con tem màu sắc từ nhiều quốc gia.)"
76,college,n,/ˈkɑːlɪdʒ/,Trường cao đẳng/đại học,"My older sister studies music at a famous college. 
(Chị gái tớ học âm nhạc tại một trường đại học nổi tiếng.)"
77,comb,n/v,/koʊm/,"Cái lược, chải đầu","You should use a comb to make your hair look neat. 
(Con nên dùng lược để chải tóc cho gọn gàng.)"
78,competition,n,/ˌkɑːmpəˈtɪʃn/,Cuộc thi,"She won the first prize in the school singing competition. 
(Cô ấy đã giành giải nhất trong cuộc thi hát của trường.)"
79,concert,n,/ˈkɑːnsərt/,Buổi hòa nhạc,"We are going to a pop concert in the park tonight. 
(Tối nay chúng ta sẽ đi xem một buổi hòa nhạc pop ở công viên.)"
80,conversation,n,/ˌkɑːnvərˈseɪʃn/,Cuộc hội thoại,"The teacher had a short conversation with my parents. 
(Cô giáo đã có một cuộc trò chuyện ngắn với bố mẹ tớ.)"
81,cooker,n,/ˈkʊkər/,"Bếp nấu, nồi cơm điện","The rice is cooking in the electric cooker now. 
(Cơm đang được nấu trong nồi cơm điện bây giờ.)"
82,cookie (UK biscuit),n,/ˈkʊki/,Bánh quy,"I love eating chocolate cookies with a glass of milk. 
(Tớ thích ăn bánh quy sô-cô-la cùng với một ly sữa.)"
83,corner,n,/ˈkɔːrnər/,"Góc (tường, phố)","The toy shop is on the corner of the street. 
(Cửa hàng đồ chơi nằm ở góc đường.)"
84,costume,n,/ˈkɑːstuːm/,Trang phục hóa trang,"She wore a beautiful princess costume for the party. 
(Cô ấy đã mặc một bộ đồ hóa trang công chúa xinh đẹp cho bữa tiệc.)"
85,could (for possibility),modal v,/kʊd/,Có thể (khả năng),"It's cloudy; it could rain this afternoon. 
(Trời nhiều mây; chiều nay có thể sẽ mưa đấy.)"
86,creature,n,/ˈkriːtʃər/,Sinh vật,"The forest is home to many strange and colorful creatures. 
(Khu rừng là nhà của nhiều sinh vật lạ lẫm và đầy màu sắc.)"
87,crown,n,/kraʊn/,Vương miện,"The queen has a shiny crown made of gold and diamonds. 
(Nữ hoàng có một chiếc vương miện sáng lấp lánh làm bằng vàng và kim cương.)"
88,cushion,n,/ˈkʊʃn/,"Gối tựa, gối ôm","The cat is sleeping on a soft blue cushion on the sofa. 
(Con mèo đang ngủ trên một chiếc gối tựa màu xanh mềm mại trên ghế sô-pha.)"
89,cut,v/n,/kʌt/,"Cắt, vết cắt","Use the scissors to cut the paper into star shapes. 
(Hãy dùng kéo để cắt giấy thành hình những ngôi sao nhé.)"
90,cycle,v,/ˈsaɪkl/,Đạp xe,"We often cycle to the park on Saturday mornings. 
(Chúng tớ thường đạp xe đến công viên vào các sáng thứ Bảy.)"
91,dark,adj/n,/dɑːrk/,"Tối, bóng tối","I feel a bit scared when it is dark in the room. 
(Tớ thấy hơi sợ một chút khi trong phòng tối om.)"
92,date (as in time),n,/deɪt/,Ngày tháng,"What is the date today? It is the second of January. 
(Hôm nay là ngày mấy? Hôm nay là ngày 2 tháng 1.)"
93,David,n,/ˈdeɪvɪd/,Đa-vít,"David plays football every Saturday. 
(Đa-vít chơi bóng đá mỗi thứ Bảy.)"
94,dear (as in Dear Harry),adj,/dɪr/,Thân mến,"Dear Harry, I hope you have a great birthday, she wrote. 
(Harry thân mến, tớ hy vọng bạn có một sinh nhật tuyệt vời, cô ấy viết.)"
95,December,n,/dɪˈsembər/,Tháng 12,"It is cold in December.
(Tháng 12 trời lạnh.)"
96,decide,v,/dɪˈsaɪd/,Quyết định,"I can't decide which ice cream flavor I want. 
(Tớ không thể quyết định được là mình muốn vị kem nào nữa.)"
97,deep,adj,/diːp/,Sâu,"The sea is very deep here, so be careful when you swim. 
(Biển ở đây rất sâu, nên hãy cẩn thận khi bạn bơi nhé.)"
98,delicious,adj,/dɪˈlɪʃəs/,Thơm ngon,"This strawberry cake is so delicious! Can I have another piece? 
(Chiếc bánh dâu tây này ngon quá! Cho tớ thêm một miếng nữa được không?)"
99,desert,n,/ˈdezərt/,Sa mạc,"It is very hot and dry in the Sahara desert. 
(Ở sa mạc Sahara trời rất nóng và khô hạn.)"
100,design,v/n,/dɪˈzaɪn/,Thiết kế,"I want to design a robot that can help me clean the room. 
(Tớ muốn thiết kế một con rô-bốt có thể giúp tớ dọn dẹp phòng.)"
101,designer,n,/dɪˈzaɪnər/,Nhà thiết kế,"The fashion designer is making a beautiful dress for the show. 
(Nhà thiết kế thời trang đang may một chiếc váy đẹp cho buổi diễn.)"
102,diary,n,/ˈdaɪəri/,Nhật ký,"I write about my school day in my diary every night. 
(Tớ viết về ngày đi học của mình vào nhật ký mỗi tối.)"
103,dictionary,n,/ˈdɪkʃənəri/,Từ điển,"You should use a dictionary to look up new words. 
(Con nên dùng từ điển để tra cứu những từ mới.)"
104,dinosaur,n,/ˈdaɪnəsɔːr/,Khủng long,"The museum has a huge skeleton of a dinosaur. 
(Bảo tàng có một bộ xương khổng lồ của một con khủng long.)"
105,disappear,v,/ˌdɪsəˈpɪr/,Biến mất,"The sun will disappear behind the dark clouds soon. 
(Mặt trời sẽ sớm biến mất sau những đám mây đen.)"
106,drum,n,/drʌm/,Cái trống,"My brother plays the drums in the school band. 
(Anh trai tớ chơi trống trong ban nhạc của trường.)"
107,during,prep,/ˈdʊrɪŋ/,Trong suốt (một khoảng thời gian),"It rained heavily during the football match yesterday. 
(Trời đã mưa rất to trong suốt trận bóng đá ngày hôm qua.)"
108,each,det/pron,/iːtʃ/,Mỗi,"Each student in my class has a new blue backpack. 
(Mỗi học sinh trong lớp tớ đều có một chiếc ba lô màu xanh mới.)"
109,eagle,n,/ˈiːɡl/,Chim đại bàng,"The eagle flew high above the mountains to find food. 
(Con đại bàng đã bay cao trên những ngọn núi để tìm thức ăn.)"
110,early,adj/adv,/ˈɜːrli/,Sớm,"I woke up early today to see the sunrise. 
(Hôm nay tớ dậy sớm để ngắm bình minh.)"
111,Earth,n,/ɜːrθ/,Trái đất,"The earth is covered with green forests and blue oceans.
(Trái Đất được bao phủ bởi những khu rừng xanh và các đại dương xanh thẳm.)"
112,east,n/adj/adv,/iːst/,Hướng đông,"The sun rises in the east and sets in the west. 
(Mặt trời mọc ở hướng đông và lặn ở hướng tây.)"
113,elbow,n,/ˈelboʊ/,Khuỷu tay,"She hurt her elbow when she fell off her bicycle. 
(Cô ấy bị đau khuỷu tay khi bị ngã khỏi xe đạp.)"
114,else,adv,/els/,"Khác, nữa","Would you like anything else to eat, like an apple? 
(Bạn có muốn ăn gì khác nữa không, ví dụ như một quả táo?)"
115,Emma,n,/ˈemə/,Em-ma,"Emma likes to read books in her free time. 
(Em-ma thích đọc sách vào thời gian rảnh.)"
116,empty,adj,/ˈempti/,Trống rỗng,"The bottle is empty, so please give me some water. 
(Cái chai này trống rỗng rồi, nên làm ơn cho tớ xin ít nước nhé.)"
117,end,n/v,/end/,"Kết thúc, cuối","At the end of the movie, everyone felt very happy. 
(Vào cuối bộ phim, mọi người đều cảm thấy rất hạnh phúc.)"
118,engine,n,/ˈendʒɪn/,Động cơ,"The mechanic is checking the engine of the old car. 
(Người thợ máy đang kiểm tra động cơ của chiếc xe ô tô cũ.)"
119,engineer,n,/ˌendʒɪˈnɪr/,Kỹ sư,"An engineer designs and builds roads and bridges. 
(Một kỹ sư thiết kế và xây dựng những con đường và những cây cầu.)"
120,enormous,adj,/ɪˈnɔːrməs/,"To lớn, khổng lồ","The whale is an enormous animal that lives in the sea. 
(Cá voi là một loài động vật khổng lồ sống ở dưới biển.)"
121,enough,det/adv,/ɪˈnʌf/,Đủ,"I have enough money to buy this cool comic book. 
(Tớ có đủ tiền để mua cuốn truyện tranh ngầu này.)"
122,enter (a competition),v,/ˈentər/,"Tham gia, đi vào","Many students want to enter the school art competition. 
(Nhiều học sinh muốn tham gia cuộc thi mỹ thuật của trường.)"
123,entrance,n,/ˈentrəns/,Lối vào,"Wait for me at the main entrance of the cinema. 
(Hãy đợi tớ ở lối vào chính của rạp chiếu phim nhé.)"
124,envelope,n,/ˈenvəloʊp/,Phong bì,"Put your letter inside the envelope before you post it. 
(Hãy bỏ thư vào trong phong bì trước khi con gửi đi.)"
125,environment,n,/ɪnˈvaɪrənmənt/,Môi trường,"We should plant more trees to protect the environment. 
(Chúng ta nên trồng nhiều cây hơn để bảo vệ môi trường.)"
126,ever,adv,/ˈevər/,"Đã từng, bao giờ","Have you ever seen a real elephant in the forest? 
(Bạn đã từng nhìn thấy một con voi thật ở trong rừng chưa?)"
127,everywhere,adv,/ˈevriwer/,Khắp mọi nơi,"There were colorful flowers everywhere in the park. 
(Có những bông hoa đầy màu sắc ở khắp mọi nơi trong công viên.)"
128,excellent,adj,/ˈeksələnt/,"Xuất sắc, tuyệt vời","You did an excellent job on your English test! 
(Con đã làm bài kiểm tra tiếng Anh một cách xuất sắc!)"
129,excited,adj,/ɪkˈsaɪtɪd/,"Hào hứng, phấn khích","The children are excited about the trip to the zoo. 
(Lũ trẻ đang rất hào hứng về chuyến đi chơi sở thú.)"
130,exit,n/v,/ˈeɡzɪt/,Lối ra,"Follow the green signs to find the nearest exit. 
(Hãy đi theo các biển báo màu xanh để tìm lối ra gần nhất.)"
131,expensive,adj,/ɪkˈspensɪv/,Đắt tiền,"This new laptop is very expensive, so be careful. 
(Chiếc máy tính xách tay mới này rất đắt, nên hãy cẩn thận nhé.)"
132,explain,v,/ɪkˈspleɪn/,Giải thích,"Can you explain how to play this game again? 
(Bạn có thể giải thích lại cách chơi trò chơi này không?)"
133,explore,v,/ɪkˈsplɔːr/,Khám phá,"Let's explore the garden and look for some insects. 
(Hãy cùng khám phá khu vườn và tìm một vài con côn trùng nào.)"
134,extinct,adj,/ɪkˈstɪŋkt/,Tuyệt chủng,"Dinosaurs became extinct millions of years ago. 
(Khủng long đã bị tuyệt chủng từ hàng triệu năm trước.)"
135,factory,n,/ˈfæktəri/,Nhà máy,"This factory makes thousands of toys every day. 
(Nhà máy này sản xuất hàng ngàn đồ chơi mỗi ngày.)"
136,fall (UK autumn),n/v,/fɔːl/,"Mùa thu / Rơi, ngã","In the fall, the leaves change to orange and red. 
(Vào mùa thu, lá cây chuyển sang màu cam và đỏ.)"
137,fall over,v,/fɔːl ˈoʊvər/,"Ngã nhào, vấp ngã","Be careful on the ice, or you will fall over. 
(Hãy cẩn thận trên băng, nếu không con sẽ bị ngã nhào đấy.)"
138,far,adj/adv,/fɑːr/,Xa,"Is the library far from here? No, it's very near. 
(Thư viện có cách xa đây không? Không, nó rất gần.)"
139,fast,adj/adv,/fæst/,Nhanh,"The cheetah is the fastest animal in the world. 
(Báo săn là loài động vật nhanh nhất thế giới.)"
140,February,n,/ˈfebrueri/,Tháng 2,"February is the shortest month of the year.
(Tháng Hai là tháng ngắn nhất trong năm.)"
141,feel,v,/fiːl/,Cảm thấy,"I feel very happy when I play with my puppy. 
(Tớ thấy rất hạnh phúc khi chơi cùng chú chó con của mình.)"
142,festival,n,/ˈfestɪvl/,Lễ hội,"Mid-Autumn Festival is a special time for children. 
(Tết Trung Thu là một khoảng thời gian đặc biệt đối với trẻ em.)"
143,fetch,v,/fetʃ/,Đi lấy (vật gì về),"Can you fetch your coat from the bedroom, please? 
(Con có thể vào phòng ngủ lấy áo khoác của con ra đây được không?)"
144,a few,det,/ə fjuː/,Một vài,"There are a few apples left in the basket. 
(Còn một vài quả táo ở trong giỏ.)"
145,file (as in open and close a file),n/v,/faɪl/,"Tệp, hồ sơ","Click on the folder to open the music file. 
(Hãy bấm vào thư mục để mở tệp nhạc.)"
146,find out,v,/faɪnd aʊt/,"Tìm ra, tìm hiểu","I want to find out how bees make their honey. 
(Tớ muốn tìm hiểu xem loài ong làm ra mật như thế nào.)"
147,finger,n,/ˈfɪŋɡər/,Ngón tay,"I have five fingers on each of my hands. 
(Tớ có năm ngón tay trên mỗi bàn tay.)"
148,finish,v,/ˈfɪnɪʃ/,"Hoàn thành, xong","I will finish my breakfast in ten minutes. 
(Tớ sẽ ăn xong bữa sáng trong mười phút nữa.)"
149,fire,n,/ˈfaɪər/,"Lửa, đám cháy","The campers made a big fire to stay warm at night. 
(Những người cắm trại đã nhóm một đống lửa lớn để giữ ấm vào ban đêm.)"
150,fire engine (US fire truck),n,/ˈfaɪər endʒɪn/,Xe cứu hỏa,"The red fire engine is driving very fast with its siren. 
(Chiếc xe cứu hỏa màu đỏ đang chạy rất nhanh với tiếng còi hú.)"
151,fire fighter,n,/ˈfaɪərfaɪtər/,Lính cứu hỏa,"The brave firefighter saved the cat from the tall tree. 
(Người lính cứu hỏa dũng cảm đã cứu chú mèo khỏi cái cây cao.)"
152,fire station,n,/ˈfaɪər steɪʃn/,Trạm cứu hỏa,"There are two big red trucks at the fire station. 
(Có hai chiếc xe tải đỏ lớn ở trạm cứu hỏa.)"
153,flag,n,/flæɡ/,Lá cờ,"The national flag is flying high in the school yard. 
(Lá quốc kỳ đang tung bay cao giữa sân trường.)"
154,flashlight (UK torch),n,/ˈflæʃlaɪt/,Đèn pin,"We used a flashlight to see in the dark cave. 
(Chúng tớ đã dùng đèn pin để nhìn trong hang động tối.)"
155,flour,n,/ˈflaʊər/,Bột mì,"Mom needs some flour to bake a delicious strawberry cake. 
(Mẹ cần một ít bột mì để nướng một chiếc bánh dâu tây thơm ngon.)"
156,fog,n,/fɑːɡ/,Sương mù,"The fog was so thick that I couldn't see the road. 
(Sương mù dày đến nỗi tớ không thể nhìn thấy con đường.)"
157,foggy,adj,/ˈfɑːɡi/,Có sương mù,"It is a foggy morning, so the cars are driving slowly. 
(Hôm nay là một buổi sáng đầy sương mù, nên xe cộ đang chạy chậm.)"
158,follow,v,/ˈfɑːloʊ/,"Đi theo, làm theo","Please follow the teacher to the library. 
(Các em hãy đi theo giáo viên đến thư viện nhé.)"
159,for,prep,/fɔːr/,"Cho, dành cho","I bought this beautiful flower for my mother. 
(Tớ đã mua bông hoa đẹp này tặng mẹ tớ.)"
160,forget,v,/fərˈɡet/,Quên,"Don't forget to bring your umbrella; it's going to rain! 
(Đừng quên mang theo ô nhé; trời sắp mưa rồi đấy!)"
161,fork,n,/fɔːrk/,Cái nĩa,"I use a fork and a knife to eat my steak. 
(Tớ dùng nĩa và dao để ăn bít tết.)"
162,Frank,n,/fræŋk/,Phran-cơ,"Frank is a kind and friendly boy. 
(Phran-cơ là một cậu bé tốt bụng và thân thiện.)"
163,fridge,n,/frɪdʒ/,Tủ lạnh,"Please put the milk back into the fridge. 
(Làm ơn cất sữa lại vào trong tủ lạnh giúp tớ.)"
164,friendly,adj,/ˈfrendli/,Thân thiện,"Everyone in my new class is very kind and friendly. 
(Mọi người ở lớp mới của tớ đều rất tốt bụng và thân thiện.)"
165,frightening,adj,/ˈfraɪtnɪŋ/,Đáng sợ,"That movie about monsters was very frightening! 
(Bộ phim về những con quái vật đó thật là đáng sợ!)"
