No,Word,Parts of Speech,IPA,Vietnamese,Example
18,band (music),n,/bænd/,ban nhạc,"My brother plays the guitar in a rock band. 
(Anh trai mình chơi ghi-ta trong một ban nhạc rock.)"
19,bank,n,/bæŋk/,ngân hàng,"My mum goes to the bank to get some money. 
(Mẹ mình đến ngân hàng để lấy tiền.)"
20,basement,n,/ˈbeɪsmənt/,tầng hầm,"We keep our old bikes in the basement. 
(Chúng mình để những chiếc xe đạp cũ dưới tầng hầm.)"
21,bat,n,/bæt/,con dơi / cái gậy,"Look! A bat is flying in the garden. 
(Nhìn kìa! Một con dơi đang bay trong vườn.)"
22,be called,v,/bi kɔːld/,được gọi là,"My kitten is called Luna. 
(Con mèo con của tớ được gọi là Luna.)"
23,bear,n,/ber/,con gấu,"I saw a big brown bear at the zoo. 
(Tớ đã thấy một con gấu nâu lớn ở vườn thú.)"
24,beard,n,/bɪrd/,bộ râu,"My grandfather has a long white beard. 
(Ông của tớ có một bộ râu dài màu trắng.)"
25,because,conj,/bɪˈkɔːz/,bởi vì,"I am happy because today is my birthday. 
(Tớ vui bởi vì hôm nay là sinh nhật của tớ.)"
26,before,prep,/bɪˈfɔːr/,trước khi,"Wash your hands before dinner. 
(Hãy rửa tay trước khi ăn tối nhé.)"
27,below,prep,/bɪˈloʊ/,ở dưới,"The cat is sleeping below the table. 
(Con mèo đang ngủ ở dưới cái bàn.)"
28,best,adj + adv,/best/,tốt nhất,"Blue is my best color. 
(Màu xanh dương là màu tớ thích nhất.)"
29,better,adj + adv,/ˈbetər/,tốt hơn,"I feel better today, thank you! 
(Hôm nay tớ thấy khỏe hơn rồi, cảm ơn bạn!)"
30,blanket,n,/ˈblæŋkɪt/,"cái chăn, cái mền","It is cold, so I need a blanket. 
(Trời lạnh nên tớ cần một cái chăn.)"
31,break,n,/breɪk/,giờ nghỉ giải lao,"We play games during the school break. 
(Chúng tớ chơi trò chơi trong giờ nghỉ giải lao ở trường.)"
32,bring,v,/brɪŋ/,mang theo,"Please bring your book to the class. 
(Làm ơn hãy mang theo sách của bạn đến lớp.)"
33,blond(e),adj,/blɑːnd/,vàng hoe (tóc),"The girl has long blond hair. 
(Cô bé đó có mái tóc dài vàng hoe.)"
34,bus station,n,/ˈbʌs steɪʃn/,bến xe buýt,"We are waiting for the bus at the bus station. 
(Chúng tớ đang đợi xe buýt tại bến xe buýt.)"
35,boring,adj,/ˈbɔːrɪŋ/,nhàm chán,"This film is very boring. 
(Bộ phim này rất nhàm chán.)"
36,both,det + pron,/boʊθ/,cả hai,"Both my parents are doctors. 
(Cả bố và mẹ tớ đều là bác sĩ.)"
37,bottle,n,/ˈbɑːtl/,cái chai,"There is some water in the bottle. 
(Có một ít nước trong chai.)"
38,bottom,adj + n,/ˈbɑːtəm/,"đáy, phần dưới cùng","The key is at the bottom of my bag. 
(Chì cáy khóa nằm ở dưới đáy cặp của tớ.)"
39,bowl,n,/boʊl/,cái bát,"I eat soup in a big bowl. 
(Tớ ăn súp trong một cái bát lớn.)"
40,bus stop,n,/ˈbʌs stɑːp/,điểm dừng xe buýt,"The bus stop is near my house. 
(Điểm dừng xe buýt thì ở gần nhà tớ.)"
41,busy,adj,/ˈbɪzi/,bận rộn,"My teacher is very busy today. 
(Hôm nay giáo viên của tớ rất bận.)"
42,buy,v,/baɪ/,mua,"I want to buy a new toy. 
(Tớ muốn mua một món đồ chơi mới.)"
43,by,prep,/baɪ/,"bên cạnh, bằng","We go to school by bus. 
(Chúng tớ đi học bằng xe buýt.)"
44,café,n,/kæˈfeɪ/,quán cà phê,"Let's go to the café for a drink. 
(Hãy đến quán cà phê uống nước đi.)"
45,cage,n,/keɪdʒ/,cái lồng,"The bird is in the cage. 
(Con chim đang ở trong lồng.)"
46,call,v,/kɔːl/,"gọi, gọi điện","Can you call me later? 
(Bạn có thể gọi điện cho tớ sau được không?)"
47,CD,n,/ˌsiː ˈdiː/,đĩa CD,"I love listening to music on this CD. 
(Tớ thích nghe nhạc trên chiếc đĩa CD này.)"
48,city,n,/ˈsɪti/,thành phố,"I live in a big city. 
(Tớ sống ở một thành phố lớn.)"
49,CD player,n,/ˈsiː diː pleɪər/,máy nghe đĩa CD,"Put the CD into the CD player. 
(Hãy cho đĩa CD vào máy nghe nhạc.)"
50,centre,n,/ˈsentər/,trung tâm,"There is a big park in the centre of the town. 
(Có một công viên lớn ở trung tâm thị trấn.)"
51,cheese,n,/tʃiːz/,phô mai,"I like cheese on my pizza. 
(Tớ thích có phô mai trên bánh pizza của mình.)"
52,careful,adj,/ˈkerfl/,cẩn thận,"Be careful with the hot soup! 
(Hãy cẩn thận với bát súp nóng nhé!)"
53,change,v,/tʃeɪndʒ/,thay đổi,"You need to change your wet clothes. 
(Con cần thay quần áo bị ướt đi.)"
54,carefully,adv,/ˈkerfəli/,một cách cẩn thận,"Please carry the eggs carefully. 
(Làm ơn hãy bưng những quả trứng một cách cẩn thận.)"
55,Charlie,n,/ˈtʃɑːrli/,,
56,carry,v,/ˈkæri/,"mang, xách","He helps me carry the heavy bags. 
(Anh ấy giúp tớ xách những chiếc túi nặng.)"
57,catch (e.g. a bus),v,/kætʃ/,bắt (xe buýt),"Run! We need to catch the bus. 
(Chạy mau! Chúng ta cần phải bắt xe buýt.)"
58,cinema,n,/ˈsɪnəmə/,rạp chiếu phim,"We are watching a movie at the cinema. 
(Chúng tớ đang xem phim tại rạp chiếu phim.)"
59,circle,n,/ˈsɜːrkl/,hình tròn,"Draw a big circle on the paper. 
(Hãy vẽ một hình tròn lớn lên giấy.)"
60,city centre,n,/ˌsɪti ˈsentər/,trung tâm thành phố,"Let's go shopping in the city centre. 
(Hãy đi mua sắm ở trung tâm thành phố nào.)"
61,clever,adj,/ˈklevər/,thông minh,"My sister is very clever. 
(Chị gái tớ rất thông minh.)"
62,climb,v,/klaɪm/,"leo, trèo","Don't climb that tall tree! 
(Đừng trèo lên cái cây cao đó!)"
63,cloud,n,/klaʊd/,đám mây,"Look at that white cloud in the sky. 
(Hãy nhìn đám mây trắng trên bầu trời kìa.)"
64,cloudy,adj,/ˈklaʊdi/,có mây,"It is cloudy today. 
(Hôm nay trời có nhiều mây.)"
65,clown,n,/klaʊn/,chú hề,"The clown is making everyone laugh. 
(Chú hề đang làm mọi người cười.)"
66,coat,n,/koʊt/,áo khoác,"Put on your coat, it's cold outside. 
(Hãy mặc áo khoác vào, ngoài trời lạnh lắm.)"
67,coffee,n,/ˈkɔːfi/,cà phê,"My dad drinks coffee every morning. 
(Bố tớ uống cà phê mỗi sáng.)"
68,cold,adj + n,/koʊld/,lạnh,"I feel very cold in winter. 
(Tớ thấy rất lạnh vào mùa đông.)"
69,come on!,excl,/kʌm ɑːn/,thôi nào!,"Come on! We are going to be late. 
(Thôi nào! Chúng ta sắp muộn rồi đấy.)"
70,comic,n,/ˈkɑːmɪk/,truyện tranh,"I enjoy reading a comic after school. 
(Tớ thích đọc truyện tranh sau giờ học.)"
71,comic book,n,/ˈkɑːmɪk bʊk/,cuốn truyện tranh,"This comic book is very funny. 
(Cuốn truyện tranh này rất buồn cười.)"
72,cook,v,/kʊk/,nấu ăn,"My mom likes to cook dinner for us. 
(Mẹ tớ thích nấu bữa tối cho cả nhà.)"
73,cough,n,/kɔːf/,ho,"The boy has a bad cough. 
(Cậu bé đó bị ho rất nặng.)"
74,"could 
(as in past of can for ability)",v,/kʊd/,có thể (quá khứ),"When I was five, I could swim. 
(Khi tớ 5 tuổi, tớ đã có thể bơi.)"
75,country,n,/ˈkʌntri/,"đất nước, miền quê","Which country do you want to visit? 
(Bạn muốn đi thăm đất nước nào?)"
76,countryside,n,/ˈkʌntrisaɪd/,nông thôn,"I love visiting my grandma in the countryside. 
(Tớ thích về thăm bà ở vùng nông thôn.)"
77,cry,v,/kraɪ/,khóc,"Don't cry, everything is okay. 
(Đừng khóc, mọi chuyện đều ổn cả mà.)"
78,cup,n,/kʌp/,"cái cúp, tách","I want a cup of tea, please. 
(Cho tớ một tách trà với.)"
79,curly,adj,/ˈkɜːrli/,xoăn,"She has beautiful curly hair. 
(Cô ấy có mái tóc xoăn rất đẹp.)"
80,Daisy,n,/ˈdeɪzi/,,
81,difficult,adj,/ˈdɪfɪkəlt/,khó,"This math homework is difficult. 
(Bài tập về nhà môn toán này khó quá.)"
82,dance,v,/dæns/,nhảy múa,"The children like to dance to the music. 
(Trẻ em thích nhảy múa theo điệu nhạc.)"
83,doctor,n,/ˈdɑːktər/,bác sĩ,"The doctor helps sick people. 
(Bác sĩ giúp đỡ những người bị ốm.)"
84,daughter,n,/ˈdɔːtər/,con gái,"She is my aunt's daughter. 
(Em ấy là con gái của dì tớ.)"
85,dolphin,n,/ˈdɑːlfɪn/,con cá heo,"The dolphin is jumping in the sea. 
(Con cá heo đang nhảy trên biển.)"
86,difference,n,/ˈdɪfrəns/,sự khác biệt,"Can you see the difference between these two pictures? 
(Bạn có thấy điểm khác biệt giữa hai bức tranh này không?)"
87,down,adv + prep,/daʊn/,"xuống, ở dưới","Sit down on the chair, please. 
(Làm ơn hãy ngồi xuống ghế.)"
88,different,adj,/ˈdɪfrənt/,khác biệt,"These two toys are different. 
(Hai món đồ chơi này thì khác nhau.)"
89,downstairs,adv + n,/ˌdaʊnˈsterz/,tầng dưới,"My bedroom is downstairs. 
(Phòng ngủ của tớ ở tầng dưới.)"
90,dream,n + v,/driːm/,"giấc mơ, mơ","I had a funny dream last night. 
(Tối qua tớ đã có một giấc mơ rất buồn cười.)"
91,dress up,v,/dres ʌp/,"mặc quần áo, hóa trang","I like to dress up like a pirate for Halloween. 
(Tớ thích hóa trang thành cướp biển vào dịp Halloween.)"
92,drive,n,/draɪv/,lái xe,"My father can drive a car. 
(Bố tớ biết lái xe ô tô.)"
93,driver,n,/ˈdraɪvər/,người lái xe,"The bus driver is very kind. 
(Bác lái xe buýt rất tốt bụng.)"
94,drop,v,/drɑːp/,"rơi, đánh rơi","Don't drop the glass! 
(Đừng làm rơi cái ly nhé!)"
95,dry,adj + v,/draɪ/,khô,"My hair is dry now. 
(Tóc của tớ khô rồi.)"
96,DVD,n,/ˌdiː viː ˈdiː/,Đĩa DVD,"I still keep a collection of my favorite movies on DVD 
(Tôi vẫn còn giữ một bộ sưu tập những bộ phim yêu thích của mình trên đĩa DVD)"
97,DVD player,n,/ˌdiː viː ˈdiː pleɪər/,Đầu đĩa DVD,"We need a DVD player to watch this old wedding video. 
(Chúng ta cần một cái đầu đĩa DVD để xem lại cuốn băng đám cưới cũ này)"
98,earache,n,/ˈɪreɪk/,đau tai,"I have an earache, it hurts a lot. 
(Tớ bị đau tai, nó đau lắm.)"
99,easy,adj,/ˈiːzi/,dễ,"This game is very easy to play. 
(Trò chơi này rất dễ chơi.)"
100,elevator (UK lift),n,/ˈelɪveɪtər/,thang máy,"We take the elevator to the fifth floor. 
(Chúng tớ đi thang máy lên tầng 5.)"
101,email,n + v,/ˈiːmeɪl/,thư điện tử (email),"I send an email to my teacher every week. 
(Tớ gửi một bức thư điện tử cho giáo viên của tớ mỗi tuần.)"
102,every,det,/ˈevri/,"mỗi, mọi","I brush my teeth every morning. 
(Tớ đánh răng mỗi sáng.)"
103,everyone,pron,/ˈevriwʌn/,mọi người,"Everyone in my class is very friendly. 
(Mọi người trong lớp của tớ đều rất thân thiện.)"
104,everything,pron,/ˈevriθɪŋ/,mọi thứ,"Is everything in your bag? 
(Mọi thứ đã ở trong cặp của bạn chưa?)"
105,exciting,adj,/ɪkˈsaɪtɪŋ/,"thú vị, hào hứng","This roller coaster is very exciting. 
(Cái tàu lượn siêu tốc này rất thú vị.)"
106,excuse me,di:s,/ɪkˈskjuːs mi/,xin lỗi (để ngắt lời/hỏi),"Excuse me, where is the library? 
(Xin lỗi, thư viện ở đâu ạ?)"
107,fair,n,/fer/,hội chợ,"We go to the fair to play games. 
(Chúng tớ đến hội chợ để chơi trò chơi.)"
108,farmer,n,/ˈfɑːrmər/,nông dân,"The farmer is working on the farm. 
(Bác nông dân đang làm việc trên nông trại.)"
109,fall,v,/fɔːl/,"ngã, rơi","Be careful! Don't fall off your bike. 
(Cẩn thận nhé! Đừng để bị ngã xe đạp.)"
110,fat,adj,/fæt/,"béo, mập","Look at that fat cat sleeping on the sofa! 
(Nhìn con mèo béo đang ngủ trên ghế sofa kìa!)"
111,famous,adj,/ˈfeɪməs/,nổi tiếng,"He is a famous football player. 
(Anh ấy là một cầu thủ bóng đá nổi tiếng.)"
112,field,n,/fiːld/,cánh đồng,"The cows are eating grass in the field. 
(Những con bò đang ăn cỏ trên cánh đồng.)"
113,fan,n,/fæn/,người hâm mộ / cái quạt,"I am a big fan of this music band. 
(Tớ là một người hâm mộ cuồng nhiệt của ban nhạc này.)"
114,"film 
(US movie)",n + v,/fɪlm/,bộ phim,"Let's watch a funny film tonight. 
(Hãy xem một bộ phim hài tối nay nhé.)"
115,farm,n,/fɑːrm/,nông trại,"My grandpa lives on a big farm. 
(Ông của tớ sống ở một nông trại lớn.)"
116,fine,adj + excl,/faɪn/,"tốt, ổn","I'm fine, thank you. 
(Tớ ổn, cảm ơn bạn.)"
117,first,adj + adv,/fɜːrst/,đầu tiên,"He is the first student to come to class. 
(Cậu ấy là học sinh đầu tiên đến lớp.)"
118,fish,v,/fɪʃ/,con cá / câu cá,"My dad likes to fish in the river. 
(Bố tớ thích câu cá ở dòng sông.)"
119,"floor 
(e.g. ground, 1st, etc.)",n,/flɔːr/,tầng / sàn nhà,"My classroom is on the second floor. 
(Lớp học của tớ ở tầng hai.)"
120,fly,n/ v,/flaɪ/,con ruồi/ bay,"Birds can fly high in the sky. 
(Loài chim có thể bay cao trên bầu trời.)"
121,forest,n,/ˈfɔːrɪst/,khu rừng,"There are many tall trees in the forest. 
(Có rất nhiều cây cao trong khu rừng.)"
122,Fred,n,/fred/,,
123,Friday,n,/ˈfraɪdeɪ/,thứ Sáu,"We have English class every Friday. 
(Chúng tớ có tiết tiếng Anh vào mỗi thứ Sáu.)"
124,frightened,adj,/ˈfraɪtnd/,sợ hãi,"The little girl is frightened of spiders. 
(Cô bé ấy rất sợ nhện.)"
125,get dressed,v,/ɡet drest/,mặc quần áo/ thay đồ,"I get dressed before eating breakfast. 
(Tớ mặc quần áo trước khi ăn sáng.)"
126,get off,v,/ɡet ɔːf/,"xuống (xe buýt, tàu...)","We get off the bus at the school gate. 
(Chúng tớ xuống xe buýt ở cổng trường.)"
127,get on,v,/ɡet ɑːn/,"lên (xe buýt, tàu...)","Get on the bus quickly, please! 
(Làm ơn hãy lên xe buýt nhanh lên!)"
128,get undressed,v,/ɡet ʌnˈdrest/,cởi quần áo,"I get undressed before taking a shower. 
(Tớ cởi quần áo trước khi đi tắm vòi sen)."
129,get up,v,/ɡet ʌp/,ngủ dậy / đứng dậy,"I get up at six o'clock every day. 
(Tớ ngủ dậy lúc 6 giờ mỗi ngày.)"
130,glass,n,/ɡlæs/,cái ly / thủy tinh,"Can I have a glass of water, please? 
(Cho tớ xin một ly nước được không?)"
131,go shopping,v,/ɡoʊ ˈʃɑːpɪŋ/,đi mua sắm,"I often go shopping with my mum at the weekend. 
(Tớ thường đi mua sắm với mẹ vào cuối tuần.)"
132,grandchild(ren),n,/ˈɡræntʃaɪld/(/ˈɡræntʃɪldrən/),cháu (của ông bà),"My grandparents have five grandchildren. 
(Ông bà tớ có năm người cháu.)"
133,granddaughter,n,/ˈɡrændɔːtər/,cháu gái (của ông bà),"I am my grandmother's favorite granddaughter. 
(Tớ là cháu gái cưng của bà nội tớ.)"
134,grandparent,n,/ˈɡrænperənt/,ông hoặc bà,"My grandparent lives in a small house by the sea. 
(Ông/bà tớ sống trong một ngôi nhà nhỏ bên bờ biển.)"
135,grandson,n,/ˈɡrænsʌn/,cháu trai (của ông bà),"My grandson is playing with his toy cars. 
(Cháu trai của ông đang chơi với những chiếc xe đồ chơi.)"
136,grass,n,/ɡræs/,cỏ,"Don't walk on the grass in the park. 
(Đừng đi bộ trên cỏ trong công viên nhé.)"
137,ground,n,/ɡraʊnd/,mặt đất,"The apple fell to the ground. 
(Quả táo đã rơi xuống mặt đất.)"
138,grown-up,n/ v,/ˌɡroʊn ˈʌp/,"người lớn
lớn lên/ trưởng thành","When I am a grown-up, I want to be a pilot. 
(Khi tớ trở thành người lớn, tớ muốn làm phi công.)"
139,have (got) to,v,/hæv ɡɑːt tu/,phải (làm gì),"I have to do my homework now. 
(Tớ phải làm bài tập về nhà bây giờ.)"
140,headache,n,/ˈhedeɪk/,đau đầu,"I can't play because I have a headache. 
(Tớ không thể chơi được vì tớ bị đau đầu.)"
141,help,v,/help/,giúp đỡ,"Can you help me carry this bag, please? 
(Bạn có thể giúp tớ xách cái túi này được không?)"
142,hide,v,/haɪd/,"trốn, ẩn nấp","Let's play hide and seek! I will hide behind the tree. 
(Hãy chơi trốn tìm nào! Tớ sẽ trốn sau cái cây.)"
143,holiday,n,/ˈhɑːlədeɪ/,"ngày nghỉ, kỳ nghỉ","We are going to the beach for our summer holiday. 
(Chúng tớ sẽ đi biển cho kỳ nghỉ hè.)"
144,homework,n,/ˈhoʊmwɜːrk/,bài tập về nhà,"I always finish my homework before dinner. 
(Tớ luôn hoàn thành bài tập về nhà trước bữa tối.)"
145,hop,v,/hɑːp/,nhảy lò cò,"Can you hop like a rabbit? 
(Bạn có thể nhảy lò cò như một con thỏ không?)"
146,hospital,n,/ˈhɑːspɪtl/,bệnh viện,"My aunt works as a nurse in a big hospital. 
(Dì tớ làm y tá trong một bệnh viện lớn.)"
147,hot,adj,/hɑːt/,nóng,"It's very hot in the summer. 
(Trời rất nóng vào mùa hè.)"
148,how,adv,/haʊ/,như thế nào,"How do you go to school? 
(Bạn đi đến trường bằng cách nào?)"
149,how much,adv + i:nt,/haʊ mʌtʃ/,bao nhiêu (giá tiền),"How much is this red T-shirt? 
(Cái áo phông màu đỏ này giá bao nhiêu?)"
150,how often,adv + i:nt,/haʊ ˈɔːfn/,bao lâu một lần,"How often do you go to the cinema? 
(Bạn có thường xuyên đi xem phim không?)"
151,hundred,n,/ˈhʌndrəd/,một trăm,"There are hundred pages in this book. 
(Có một trăm trang trong cuốn sách này.)"
152,hungry,adj,/ˈhʌŋɡri/,đói,"I am so hungry, I want to eat a sandwich. 
(Tớ đói quá, tớ muốn ăn một chiếc bánh mì kẹp.)"
153,hurt,v,/hɜːrt/,"làm đau, bị đau","I fell down and hurt my leg. 
(Tớ bị ngã và làm đau chân.)"
154,idea,n,/aɪˈdiːə/,ý tưởng,"I have a great idea for our game! 
(Tớ có một ý tưởng tuyệt vời cho trò chơi của chúng mình!)"
155,inside,adv + n + prep,/ˌɪnˈsaɪd/,bên trong,"It's raining, let's go inside. 
(Trời đang mưa, chúng mình hãy vào bên trong đi.)"
156,internet,n,/ˈɪntərnet/,mạng internet,"I use the internet to learn English. 
(Tớ dùng mạng internet để học tiếng Anh.)"
157,into,prep,/ˈɪntu/,vào trong,"The dog ran into the house. 
(Con chó chạy vào trong nhà.)"
158,invite,v,/ɪnˈvaɪt/,mời,"I want to invite all my friends to my party. 
(Tớ muốn mời tất cả bạn bè đến dự tiệc của tớ.)"
159,island,n,/ˈaɪlənd/,hòn đảo,"We took a boat to the island. 
(Chúng tớ đã đi thuyền ra hòn đảo.)"
160,Jack,n,/dʒæk/,,
161,Jane,n,/dʒeɪn/,,
162,Jim,n,/dʒɪm/,,
163,John,n,/dʒɑːn/,,
164,jungle,n,/ˈdʒʌŋɡl/,rừng rậm,"Many wild animals live in the jungle. 
(Nhiều động vật hoang dã sống trong rừng rậm.)"
165,kangaroo,n,/ˌkæŋɡəˈruː/,con chuột túi,"A kangaroo can jump very high. 
(Một con chuột túi có thể nhảy rất cao.)"
166,kick,n,/kɪk/,đá,"He can kick the ball very hard. 
(Cậu ấy có thể đá quả bóng rất mạnh.)"
167,kind,n,/kaɪnd/,tốt bụng / loại,"My teacher is very kind to us. 
(Giáo viên của tớ rất tốt bụng với chúng tớ.)"
168,kitten,n,/ˈkɪtn/,con mèo con,"The kitten is drinking milk. 
(Con mèo con đang uống sữa.)"
169,lake,n,/leɪk/,hồ nước,"We can go fishing in the lake. 
(Chúng mình có thể đi câu cá ở hồ.)"
170,library,n,/ˈlaɪbreri/,thư viện,"I go to the library to borrow some books. 
(Tớ đến thư viện để mượn vài cuốn sách.)"
171,last,adj + adv,/læst/,cuối cùng / vừa qua,"I went to the zoo last Sunday. 
(Tớ đã đi sở thú vào Chủ Nhật vừa qua.)"
172,"lift 
(US elevator)",n,/lɪft/,thang máy,"We take the lift to the third floor. 
(Chúng mình đi thang máy lên tầng ba.)"
173,laugh,n + v,/læf/,cười,"The clown makes all the children laugh. 
(Chú hề làm cho tất cả trẻ em đều cười.)"
174,leaf/leaves,n,/liːf/ - /liːvz/,lá cây,"Look at the beautiful red leaves on the tree. 
(Hãy nhìn những chiếc lá màu đỏ đẹp đẽ trên cây kìa.)"
175,Lily,n,/ˈlɪli/,,
176,lion,n,/ˈlaɪən/,sư tử,"The lion is the king of the jungle. 
(Sư tử là chúa tể của rừng rậm.)"
177,look for,v,/lʊk fɔːr/,tìm kiếm,"I am looking for my lost pencil. 
(Tớ đang tìm kiếm chiếc bút chì bị mất của mình.)"
178,lose,v,/luːz/,thua / mất,"Don't lose your house key! 
(Đừng để mất chìa khóa nhà nhé!)"
179,loud,adj,/laʊd/,"to, ồn ào","The music is too loud. 
(Tiếng nhạc to quá.)"
180,loudly,adv,/ˈlaʊdli/,một cách ồn ào,"He is talking very loudly. 
(Anh ấy đang nói chuyện rất ồn ào.)"
181,map,n,/mæp/,bản đồ,"We use a map to find the way. 
(Chúng mình dùng bản đồ để tìm đường.)"
182,message,n,/ˈmesɪdʒ/,tin nhắn,"I have a new message on my phone. 
(Tớ có một tin nhắn mới trên điện thoại.)"
183,market,n,/ˈmɑːrkɪt/,chợ,"My mum buys fresh fruit at the market. 
(Mẹ tớ mua trái cây tươi ở chợ.)"
184,mistake,n,/mɪˈsteɪk/,lỗi sai,"I made a small mistake in the test. 
(Tớ đã mắc một lỗi nhỏ trong bài kiểm tra.)"
185,Mary,n,/ˈmeri/,,
186,Monday,n,/ˈmʌndeɪ/,thứ Hai,"We have music class on Monday. 
(Chúng tớ có tiết âm nhạc vào thứ Hai.)"
187,matter,n,/ˈmætər/,vấn đề / việc,"What's the matter? Why are you crying? 
(Có chuyện gì vậy? Sao bạn lại khóc?)"
188,moon,n,/muːn/,mặt trăng,"The moon is very bright tonight. 
(Đêm nay mặt trăng rất sáng.)"
189,mean,v,/miːn/,có nghĩa là,"What does this word mean? 
(Từ này có nghĩa là gì vậy?)"
190,more,adv + det + pron,/mɔːr/,nhiều hơn,"Can I have more milk, please? 
(Cho tớ xin thêm ít sữa được không?)"
191,most,adv + det + pron,/moʊst/,nhất,"Football is the most exciting sport. 
(Bóng đá là môn thể thao thú vị nhất.)"
192,mountain,n,/ˈmaʊntn/,ngọn núi,"We are climbing a high mountain. 
(Chúng tớ đang leo lên một ngọn núi cao.)"
193,moustache,n,/ˈmʌstæʃ/,ria mép,"My dad has a black moustache. 
(Bố tớ có một bộ ria mép màu đen.)"
194,move,v,/muːv/,di chuyển / dời đi,"We are going to move to a new house. 
(Chúng tớ sắp chuyển sang một ngôi nhà mới.)"
195,"movie 
(UK film)",n,/ˈmuːvi/,bộ phim,"Let's watch a movie together. 
(Hãy cùng nhau xem một bộ phim nào.)"
196,must,v,/mʌst/,phải,"You must listen to your teacher. 
(Bạn phải lắng nghe giáo viên của mình.)"
197,naughty,adj,/ˈnɔːti/,nghịch ngợm,"The naughty monkey is taking the hat. 
(Con khỉ nghịch ngợm đang lấy chiếc mũ.)"
198,near,adv + prep,/nɪr/,gần,"My school is near the park. 
(Trường của tớ ở gần công viên.)"
199,neck,n,/nek/,cái cổ,"A giraffe has a very long neck. 
(Con hươu cao cổ có cái cổ rất dài.)"
200,need,v,/niːd/,cần,"I need a pen to write my name. 
(Tớ cần một chiếc bút để viết tên mình.)"
201,never,adv,/ˈnevər/,không bao giờ,"I never eat breakfast at school. 
(Tớ không bao giờ ăn sáng ở trường.)"
202,noise,n,/nɔɪz/,tiếng ồn,"Don't make a noise, the baby is sleeping. 
(Đừng làm ồn, em bé đang ngủ.)"
203,nothing,pron,/ˈnʌθɪŋ/,không có gì,"There is nothing in the box. 
(Không có gì trong chiếc hộp cả.)"
204,nurse,n,/nɜːrs/,y tá,"The nurse is very kind to me. 
(Cô y tá rất tốt bụng với tớ.)"
205,off,adv + prep,/ɔːf/,tắt / rời khỏi,"Turn off the light before you go out. 
(Hãy tắt đèn trước khi bạn đi ra ngoài.)"
206,often,adv,/ˈɔːfn/,thường xuyên,"We often go to the park on Sundays. 
(Chúng tớ thường xuyên đi công viên vào các ngày Chủ Nhật.)"
207,on,adv + prep of ti:me,/ɑːn/,bật / trên,"Put your books on the desk. 
(Hãy để sách của bạn trên bàn học.)"
208,only,adv,/ˈoʊnli/,chỉ,"I have only one sister. 
(Tớ chỉ có duy nhất một người chị gái.)"
209,opposite,prep,/ˈɑːpəzɪt/,đối diện,"The bank is opposite the supermarket. 
(Ngân hàng nằm đối diện siêu thị.)"
210,out,adv,/aʊt/,ra ngoài,"Let's go out and play! 
(Hãy ra ngoài và chơi nào!)"
211,out of,prep,/aʊt əv/,ra khỏi,"Get out of the car, please. 
(Làm ơn hãy bước ra khỏi xe ô tô.)"
