No,Word,Parts of Speech,IPA,Vietnamese,Example
19,resemblance ,N,/rɪˈzembləns/,"sự giống nhau
sự tương đồng","The plot of the movie bears more than a passing resemblance to Nguyen Nhat Anh's ‘Dreamy Eyes’.
(Cốt truyện của bộ phim có/mang nhiều điểm tương đồng với tác phẩm ""Mắt biếc"" của Nguyễn Nhật Ánh.)"
20,rivalry ,N,/ˈraɪvlri/,"sự cạnh tranh
sự ganh đua","The rivalry between the two football teams was intense.
(Sự cạnh tranh giữa hai đội bóng đá rất dữ dội.)"
21,sibling ,N,/ˈsɪblɪŋ/,anh chị em ruột,"I have a sibling and I am very proud of her.
(Tôi có người em gái và tôi rất tự hào về cô ấy.)"
22,teenager,N,/ˈtiːneɪdʒər/,thiếu niên,"As a teenager, he spent most of his time trying to please others, making him regret it.
(Khi còn là thiếu niên, anh đã dành phần lớn thời gian để cố gắng làm hài lòng người khác và điều đó khiến anh phải hối hận.)"
23,temperament,N,/ˈtemprəmənt/,"tính khí
khí chất","Her calm temperament helped her handle stressful situations.
(Tính khí điềm tĩnh của cô đã giúp cô xử lý những tình huống căng thẳng.)"
24,ties,N,/taɪz/,"mối quan hệ,
ràng buộc","Although we lived in different countries, our family ties remained strong, thanks to regular video calls and holiday visits.
(Mặc dù chúng tôi sống ở những quốc gia khác nhau, nhưng mối quan hệ gia đình của chúng tôi vẫn bền chặt, nhờ các cuộc gọi video thường xuyên và các chuyến thăm vào ngày lễ.)"
25,upbringing ,N,/ˈʌpbrɪŋɪŋ/,sư nuôi dạy,"Her upbringing in a loving household shaped her into a kind and considerate person.
(Sự nuôi dạy trong một gia đình yêu thương đã hình thành nên cô ấy trở thành một người tốt bụng và chu đáo.)"
26,active role,Compound N,/ˈæktɪv//rəʊl/,vai trò tích cực,"Family education took an active role in the behavior and ethics of each person.
(Giáo dục gia đình đóng vai trò tích cực trong hành vi và đạo đức của mỗi người.)"
27,nuclear family,Compound N,/ˌnuːkliər ˈfæməli/,"gia đình hạt nhân
(bố mẹ và con cái)","My sister and I feel delighted and lucky to have grown up in a nuclear family.
(Em gái tôi và tôi cảm thấy vui mừng và may mắn khi được lớn lên trong một gia đình hạt nhân.)"
28,extended family,Compound N,/ɪkˈstendɪd//ˈfæməli/,"đại gia đình
(ông bà, bố mẹ,
cô chú, con cái,
anh chị em họ)","Living in an extended family often leads to conflicts between members.
(Sống trong một đại gia đình thường dẫn đến xung đột giữa các thành viên.)"
29,family gathering,Compound N,/ˈfæməli//ˈɡæðərɪŋ/,việc họp mặt gia đình,"Every year, we have a cozy family gathering on the Tet holiday.
(Hàng năm, chúng ta đều có một buổi họp mặt gia đình ấm cúng vào dịp Tết.)"
30,immediate family,Compound N,/ɪˈmiːdiət//ˈfæməli/,"gia đình trực hệ
gia đình ruột thịt
(cha mẹ, anh chị em ruột, vợ/chồng và con cái)","My immediate family includes my parents and my younger sibling.
(Gia đình trực hệ của tôi bao gồm bố mẹ và em trai tôi.)"
31,maternal instinct,Compound N,/məˈtɜːrnl//ˈɪnstɪŋkt/,bản năng làm mẹ,"Driven by strong maternal instincts, the cat swiftly scratched the dog's face to protect its kitten from an attack.
(Được thúc đẩy bởi bản năng làm mẹ mạnh mẽ, con mèo nhanh chóng cào mặt con chó để bảo vệ mèo con khỏi bị tấn công.)"
32,sibling rivalry,Compound N,/ˈsɪblɪŋ//ˈraɪvlri/,sự ganh đua giữa anh chị em,"Sibling rivalry arises from unfair parental treatment.
(Sự ganh đua giữa anh chị em nảy sinh từ sự đối xử bất công của cha mẹ.)"
33,stable upbringing,Compound N,/ˈsteɪbl//ˈʌpbrɪŋɪŋ/,"sự nuôi dạy tốt, ổn định","A stable upbringing fosters confident, responsible adults.
(Một nền giáo dục ổn định sẽ tạo nên những người trưởng thành tự tin và có trách nhiệm.)"
34,striking resemblance,Compound N,/ˈstraɪkɪŋ//rɪˈzembləns/,sự giống nhau đến kinh ngạc,"She bears a striking resemblance to her grandmother.
(Cô ấy có vẻ ngoài rất giống bà của mình.)"
35,close,Adj,/kləʊs/,gần gũi,"I'm wary, so I never get too close to anyone.
(Tôi là người cảnh giác nên không bao giờ đến quá gần ai cả.)"
36,close-knit ,Adj,/ˌkləʊs ˈnɪt/,gắn bó khăng khít,"The close-knit work team collaborated seamlessly on every project.
(Đội ngũ làm việc gắn bó đã hợp tác ăn ý trong mọi dự án.)"
37,maternal ,Adj,/məˈtɜːrnl/,"(thuộc) mẹ; của mẹ;
 về phía mẹ; bên ngoại","Her maternal grandfather taught her how to play chess.
(Ông ngoại của cô ấy đã dạy cô ấy chơi cờ vua.)"
38,parental ,Adj,/pəˈrentl/,(thuộc) cha mẹ,"Parental guidance is crucial during a child's formative years.
(Sự hướng dẫn của cha mẹ là rất quan trọng trong những năm hình thành nhân cách của trẻ.)"
39,rewarding ,Adj,/rɪˈwɔːrdɪŋ/,"bổ ích, đáng để làm","Helping others can be a very rewarding experience.
(Giúp đỡ người khác có thể là một trải nghiệm rất bổ ích.)"
40,stable ,Adj,/ˈsteɪbl/,ổn định,"The table is stable and does not shake.
(Cái bàn rất vững và không bị lung lay.)"
41,accommodate ,V,/əˈkɑːmədeɪt/,"cung cấp, đáp ứng (nhu cầu, chỗ ở…) chứa được, điều tiết, làm cho phù hợp, hoà giải, dàn xếp","The conference room can accommodate up to 500 attendees.
(Phòng hội nghị có sức chứa lên đến 500 người tham dự.)"
42,adopt ,V,/əˈdɑːpt/,nhận làm con nuôi,"Singer Phi Nhung has adopted 32 children.
(Ca sĩ Phi Nhung đã nhận nuôi 32 đứa trẻ.)"
43,break down ,V,/ˈbreɪkdaʊn/,"(xe cộ) bị hỏng, hư hỏng;
(cảm xúc) suy sụp, kiệt sức;
phân tích","My car broke down on the way to school.
(Xe của tôi bị hỏng trên đường đến trường.)"
44,develop,V,/dɪˈveləp/,"phát triển, cải thiện","She always learns and improves to develop herself most comprehensively.
(Cô ấy luôn học hỏi và cải thiện để phát triển bản thân một cách toàn diện nhất.)"
45,endure ,V,/ɪnˈdʊr/,"cam chịu","True love can endure hardships and challenges, growing stronger in adversity.
(Tình yêu đích thực có thể chịu đựng được những khó khăn và thử thách, trở nên mạnh mẽ hơn trong nghịch cảnh.)"
46,establish ,V,/ɪˈstæblɪʃ/,"thiết lập, thành lập","He aims to establish a successful chemical laboratory startup.
(Anh ấy có mục tiêu thành lập một phòng thí nghiệm hóa học thành công.)"
47,have something in common,V,/hæv ˈsʌmθɪŋ ɪn ˈkɑːmən/,có điểm chung,"They bonded quickly because they have a lot in common.
(Họ gắn bó nhanh chóng vì họ có nhiều điểm chung.)"
48,inherit ,V,/ɪnˈherɪt/,"thừa hưởng, thừa kế","He will inherit his family's business when his father retires.
(Anh ấy sẽ thừa kế công việc kinh doanh của gia đình khi cha anh ấy nghỉ hưu.)"
49,interact ,V,/ˌɪntərˈækt/,"ảnh hưởng lẫn nhau
tác động qua 
hỗ trợ, thúc đẩy, tiếp xúc","Children should interact with pets to learn how to understand and love them.
(Trẻ em nên tương tác với vật nuôi để học cách hiểu và yêu thương chúng.)"
50,nurture,V,/ˈnɜːrtʃər/,nuôi dưỡng,"Her mom recognized and nurtured her language ability from an early age.
(Mẹ cô ấy đã nhận ra và nuôi dưỡng khả năng ngôn ngữ của cô ấy từ khi còn nhỏ.)"
51,play a role,V,/rəʊl/,đóng 1 vai trò…,"Both parents play a role in raising their children.
(Cả cha và mẹ đều có vai trò trong việc nuôi dạy con cái.)"
52,relate (to) ,V,/rɪˈleɪt/,"
đồng cảm với...
Hiểu được….
Liên quan đến...","As a former student, I can relate to my students' challenges.
(Là một cựu học sinh, tôi có thể hiểu được những thách thức mà học sinh của mình gặp phải.)"
